저렴,즐길 수,,좋았구,재미있어요,재미없네요,아쉬워요,기쁘군요,,비쌌어요,저렴하군요,나쁘지 않고,,,,,아름답습니다,,멋졌어요,행복함,나빴어요,어렵네요,훌륭했어요,,높았구,낮았구,,,,,,,,,,,,,,,,,,실망함,다양하고,,,,,,,,
적당,즐김,,좋았고,재미 있어서,,아쉽네요,기쁜,,비싸군요,싸다,나쁘지 않아,,,,,아름다,,멋졌구,행복했어요,나쁘네요,,훌륭하네요,,높았고,낮았고,,,,,,,,,,,,,,,,,,실망하다,,,,,,,,,
괜찮다,,,좋았네요,재미 있고,,,,,비쌀,싸고,적당하다,,,,,아름다워요,,,행복하네요,,,훌륭하다,,높았네요,낮았네요,,,,,,,,,,,,,,,,,,실망하고,,,,,,,,,
가치,,,좋네요,재밌고,,,,,,싸네요,적당하게,,,,,아름답네요,,,행복함,,,,,높네요,낮네요,,,,,,,,,,,,,,,,,,,,,,,,,,,
별로다,,,좋구요,재미난,,,,,,쌉니다,적당하네요,,,,,아름답군요,,,,,,,,높구요,낮구요,,,,,,,,,,,,,,,,,,,,,,,,,,,
불행,,,좋고요,꿀잼,,,,,,쌈,적당했어요,,,,,아름답게,,,,,,,,높고요,낮고요,,,,,,,,,,,,,,,,,,,,,,,,,,,
아름답다,,,좋았구요,재미있다,,,,,,,적당하군요,,,,,,,,,,,,,높았구요,낮았구요,,,,,,,,,,,,,,,,,,,,,,,,,,,
완벽,,,좋음,,,,,,,,,,,,,,,,,,,,,높음,낮음,,,,,,,,,,,,,,,,,,,,,,,,,,,
멋지다,,,,,,,,,,,,,,,,,,,,,,,,높았어요,낮았어요,,,,,,,,,,,,,,,,,,,,,,,,,,,
행복,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나쁘다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어렵다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
훌륭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예쁘다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
높다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대표,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비효율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
않다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
적합,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
편리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥미,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
눈부시다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
없다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새롭다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
힘들다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
놀랍다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
활기차다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
즐기다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
독특,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
실망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단순,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비슷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
